number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs_stage1,params_lambda_smooth,params_lr_factor_s1,params_lr_min,params_lr_patience_stage1,params_lr_stage1,params_steps_per_epoch,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_failed_trial,system_attrs_retry_history,system_attrs_tpe:relative_params:0,state
24,-0.5737371444702148,2025-11-26 04:16:48.702061,2025-11-26 06:26:18.129998,0 days 02:09:29.427937,4,190,0.2765849091171953,0.6145220937031972,1.6213284458527838e-08,3,8.903044291478862e-05,50,-0.5737371444702148,,,,,"{""batch_size"": 4, ""epochs_stage1"": 190, ""lambda_smooth"": 0.2765849091171953, ""lr_factor_s1"": 0.6145220937031972, ""lr_min"": 1.6213284458527838e-08, ""lr_patience_stage1"": 3, ""lr_stage1"": 8.903044291478862e-05, ""steps_per_epoch"": 50}",PRUNED
25,,2025-11-26 06:26:25.907883,2025-12-03 16:26:48.702384,7 days 10:00:22.794501,8,75,0.1989776870912006,0.5136644156688891,8.283342118981939e-08,7,0.0007677577248070413,50,-0.7094640135765076,,,,,"{""batch_size"": 8, ""epochs_stage1"": 75, ""lambda_smooth"": 0.1989776870912006, ""lr_factor_s1"": 0.5136644156688891, ""lr_min"": 8.283342118981939e-08, ""lr_patience_stage1"": 7, ""lr_stage1"": 0.0007677577248070413, ""steps_per_epoch"": 50}",FAIL
26,-0.6806697845458984,2025-11-26 08:24:28.454297,2025-11-26 15:39:08.360827,0 days 07:14:39.906530,4,195,0.19466844813542544,0.6109674470488918,1.1136348829066098e-08,4,0.0009513525107442483,60,-0.6869833469390869,-0.6806697845458984,,,,"{""batch_size"": 4, ""epochs_stage1"": 195, ""lambda_smooth"": 0.19466844813542544, ""lr_factor_s1"": 0.6109674470488918, ""lr_min"": 1.1136348829066098e-08, ""lr_patience_stage1"": 4, ""lr_stage1"": 0.0009513525107442483, ""steps_per_epoch"": 60}",PRUNED
27,-0.6337587237358093,2025-11-26 10:28:45.363593,2025-11-26 17:09:50.657145,0 days 06:41:05.293552,8,30,0.23749627195902068,0.45315215687820465,4.256828930495317e-08,8,0.0007999627397630307,80,-0.6337587237358093,,,,,"{""batch_size"": 8, ""epochs_stage1"": 30, ""lambda_smooth"": 0.23749627195902068, ""lr_factor_s1"": 0.45315215687820465, ""lr_min"": 4.256828930495317e-08, ""lr_patience_stage1"": 8, ""lr_stage1"": 0.0007999627397630307, ""steps_per_epoch"": 80}",PRUNED
28,,2025-11-26 15:39:16.550640,2025-12-03 16:26:48.706487,7 days 00:47:32.155847,16,125,0.23714762770845274,0.647440372236195,1.15469100303827e-08,4,0.00011609890391773944,50,,,,,,"{""batch_size"": 16, ""epochs_stage1"": 125, ""lambda_smooth"": 0.23714762770845274, ""lr_factor_s1"": 0.647440372236195, ""lr_min"": 1.15469100303827e-08, ""lr_patience_stage1"": 4, ""lr_stage1"": 0.00011609890391773944, ""steps_per_epoch"": 50}",FAIL
29,,2025-11-26 17:10:13.580264,2025-12-03 16:26:48.710604,6 days 23:16:35.130340,4,165,0.29256413954161564,0.5829149188254197,3.345733825612494e-08,9,0.00016117337744583823,60,,,,,,"{""batch_size"": 4, ""epochs_stage1"": 165, ""lambda_smooth"": 0.29256413954161564, ""lr_factor_s1"": 0.5829149188254197, ""lr_min"": 3.345733825612494e-08, ""lr_patience_stage1"": 9, ""lr_stage1"": 0.00016117337744583823, ""steps_per_epoch"": 60}",FAIL
30,,2025-12-03 16:26:48.823459,2025-12-05 13:22:31.345371,1 days 20:55:42.521912,16,185,0.18678555881071318,0.46186167789630583,1.5161639493901786e-08,8,0.000620455415843385,40,-0.6666504740715027,-0.6605568528175354,-0.6863611936569214,13.0,[13],"{""batch_size"": 16, ""epochs_stage1"": 185, ""lambda_smooth"": 0.18678555881071318, ""lr_factor_s1"": 0.46186167789630583, ""lr_min"": 1.5161639493901786e-08, ""lr_patience_stage1"": 8, ""lr_stage1"": 0.000620455415843385, ""steps_per_epoch"": 40}",FAIL
31,-0.7807095646858215,2025-12-05 13:22:31.401891,2025-12-06 18:19:03.359811,1 days 04:56:31.957920,8,75,0.1989776870912006,0.5136644156688891,8.283342118981939e-08,7,0.0007677577248070413,50,-0.7094640135765076,-0.6949368119239807,,25.0,[25],"{""batch_size"": 8, ""epochs_stage1"": 75, ""lambda_smooth"": 0.1989776870912006, ""lr_factor_s1"": 0.5136644156688891, ""lr_min"": 8.283342118981939e-08, ""lr_patience_stage1"": 7, ""lr_stage1"": 0.0007677577248070413, ""steps_per_epoch"": 50}",COMPLETE
32,-0.6749323606491089,2025-12-05 13:45:21.102464,2025-12-06 16:00:45.045519,1 days 02:15:23.943055,16,125,0.23714762770845274,0.647440372236195,1.15469100303827e-08,4,0.00011609890391773944,50,-0.6749323606491089,,,28.0,[28],"{""batch_size"": 16, ""epochs_stage1"": 125, ""lambda_smooth"": 0.23714762770845274, ""lr_factor_s1"": 0.647440372236195, ""lr_min"": 1.15469100303827e-08, ""lr_patience_stage1"": 4, ""lr_stage1"": 0.00011609890391773944, ""steps_per_epoch"": 50}",PRUNED
33,-0.680728554725647,2025-12-06 09:49:28.648237,2025-12-07 05:32:01.257026,0 days 19:42:32.608789,4,165,0.29256413954161564,0.5829149188254197,3.345733825612494e-08,9,0.00016117337744583823,60,-0.680728554725647,,,29.0,[29],"{""batch_size"": 4, ""epochs_stage1"": 165, ""lambda_smooth"": 0.29256413954161564, ""lr_factor_s1"": 0.5829149188254197, ""lr_min"": 3.345733825612494e-08, ""lr_patience_stage1"": 9, ""lr_stage1"": 0.00016117337744583823, ""steps_per_epoch"": 60}",PRUNED
34,-0.7515466213226318,2025-12-06 09:52:01.258715,2025-12-11 12:52:53.043461,5 days 03:00:51.784746,16,185,0.18678555881071318,0.46186167789630583,1.5161639493901786e-08,8,0.000620455415843385,40,-0.6666504740715027,-0.6605568528175354,-0.6863611936569214,13.0,"[13, 30]","{""batch_size"": 16, ""epochs_stage1"": 185, ""lambda_smooth"": 0.18678555881071318, ""lr_factor_s1"": 0.46186167789630583, ""lr_min"": 1.5161639493901786e-08, ""lr_patience_stage1"": 8, ""lr_stage1"": 0.000620455415843385, ""steps_per_epoch"": 40}",COMPLETE
35,-0.6270930171012878,2025-12-06 16:00:45.260005,2025-12-08 04:13:10.215465,1 days 12:12:24.955460,8,180,0.20923221523505425,0.688643314527552,1.2391293163478294e-08,3,5.569697313045957e-05,50,-0.6270930171012878,,,,,"{""batch_size"": 8, ""epochs_stage1"": 180, ""lambda_smooth"": 0.20923221523505425, ""lr_factor_s1"": 0.688643314527552, ""lr_min"": 1.2391293163478294e-08, ""lr_patience_stage1"": 3, ""lr_stage1"": 5.569697313045957e-05, ""steps_per_epoch"": 50}",PRUNED
36,-0.747083842754364,2025-12-06 18:19:03.383700,2025-12-07 17:42:51.052703,0 days 23:23:47.669003,8,95,0.1798567901804464,0.6249085223054365,7.021702461182293e-08,6,0.0005060290466158892,30,-0.7218290567398071,-0.7197757363319397,,,,"{""batch_size"": 8, ""epochs_stage1"": 95, ""lambda_smooth"": 0.1798567901804464, ""lr_factor_s1"": 0.6249085223054365, ""lr_min"": 7.021702461182293e-08, ""lr_patience_stage1"": 6, ""lr_stage1"": 0.0005060290466158892, ""steps_per_epoch"": 30}",COMPLETE
37,-0.6568742990493774,2025-12-07 05:32:01.282956,2025-12-07 07:37:31.295879,0 days 02:05:30.012923,4,110,0.26329605555486235,0.41939073899731727,1.6863918118371572e-08,7,0.0007971285142918832,50,-0.6568742990493774,,,,,"{""batch_size"": 4, ""epochs_stage1"": 110, ""lambda_smooth"": 0.26329605555486235, ""lr_factor_s1"": 0.41939073899731727, ""lr_min"": 1.6863918118371572e-08, ""lr_patience_stage1"": 7, ""lr_stage1"": 0.0007971285142918832, ""steps_per_epoch"": 50}",PRUNED
38,-0.7053002715110779,2025-12-07 07:37:41.344429,2025-12-07 13:23:18.843502,0 days 05:45:37.499073,4,100,0.17055946060816607,0.4848973982366108,5.4266966515121235e-08,6,0.0007313201486874621,50,-0.7053002715110779,,,,,"{""batch_size"": 4, ""epochs_stage1"": 100, ""lambda_smooth"": 0.17055946060816607, ""lr_factor_s1"": 0.4848973982366108, ""lr_min"": 5.4266966515121235e-08, ""lr_patience_stage1"": 6, ""lr_stage1"": 0.0007313201486874621, ""steps_per_epoch"": 50}",PRUNED
